sk_produto,id_produto_original,valor_produto,data_inicio_validade,data_fim_validade,flag_ativo
93,P034,200.79,2025-01-01,2025-01-02 00:00:00,False
94,P002,245.36,2025-01-01,2025-01-02 00:00:00,False
95,P033,2451.2,2025-01-01,2025-01-01 00:00:00,False
96,P049,210.62,2025-01-01,2025-01-01 00:00:00,False
97,P022,3125.47,2025-01-01,2025-01-01 00:00:00,False
98,P040,173.98,2025-01-01,2025-01-02 00:00:00,False
99,P031,2266.25,2025-01-01,2025-01-01 00:00:00,False
100,P031,2275.97,2025-01-01,2025-01-02 00:00:00,False
101,P039,2835.48,2025-01-01,2025-01-02 00:00:00,False
102,P004,6266.85,2025-01-01,2025-01-01 00:00:00,False
103,P024,3164.34,2025-01-01,2025-01-02 00:00:00,False
104,P032,1569.89,2025-01-01,2025-01-01 00:00:00,False
105,P026,1543.73,2025-01-01,2025-01-02 00:00:00,False
106,P033,2061.41,2025-01-01,2025-01-01 00:00:00,False
107,P049,775.78,2025-01-01,2025-01-01 00:00:00,False
108,P007,2905.99,2025-01-01,2025-01-02 00:00:00,False
109,P008,23.68,2025-01-01,2025-01-01 00:00:00,False
110,P019,446.37,2025-01-01,2025-01-01 00:00:00,False
111,P012,310.51,2025-01-01,2025-01-02 00:00:00,False
112,P020,2157.29,2025-01-01,2025-01-01 00:00:00,False
113,P001,3008.01,2025-01-01,2025-01-02 00:00:00,False
114,P013,631.06,2025-01-01,2025-01-01 00:00:00,False
115,P004,453.21,2025-01-01,2025-01-01 00:00:00,False
116,P036,348.04,2025-01-01,2025-01-01 00:00:00,False
117,P035,2581.08,2025-01-01,2025-01-02 00:00:00,False
118,P050,209.45,2025-01-01,2025-01-01 00:00:00,False
119,P010,442.45,2025-01-01,2025-01-01 00:00:00,False
120,P032,2304.23,2025-01-01,2025-01-01 00:00:00,False
121,P032,1086.01,2025-01-01,2025-01-02 00:00:00,False
122,P023,443.82,2025-01-01,2025-01-01 00:00:00,False
123,P027,1291.96,2025-01-01,2025-01-01 00:00:00,False
124,P020,236.2,2025-01-01,2025-01-01 00:00:00,False
125,P028,2472.93,2025-01-01,2025-01-02 00:00:00,False
126,P020,1376.73,2025-01-01,2025-01-01 00:00:00,False
127,P044,1428.74,2025-01-01,2025-01-02 00:00:00,False
128,P048,271.95,2025-01-01,2025-01-04 00:00:00,False
129,P030,447.66,2025-01-01,2025-01-01 00:00:00,False
130,P038,24.95,2025-01-01,2025-01-03 00:00:00,False
131,P010,306.41,2025-01-01,2025-01-02 00:00:00,False
132,P045,181.36,2025-01-01,2025-01-02 00:00:00,False
133,P049,4413.55,2025-01-01,2025-01-02 00:00:00,False
134,P050,1927.33,2025-01-01,2025-01-01 00:00:00,False
135,P009,2043.63,2025-01-01,2025-01-02 00:00:00,False
136,P030,527.34,2025-01-01,2025-01-01 00:00:00,False
137,P023,2052.49,2025-01-01,2025-01-01 00:00:00,False
138,P046,5258.26,2025-01-01,2025-01-01 00:00:00,False
139,P033,173.24,2025-01-01,2025-01-02 00:00:00,False
140,P019,2816.68,2025-01-01,2025-01-03 00:00:00,False
141,P030,5171.04,2025-01-01,2025-01-01 00:00:00,False
142,P050,1793.94,2025-01-01,2025-01-02 00:00:00,False
143,P030,371.18,2025-01-01,2025-01-02 00:00:00,False
144,P023,424.58,2025-01-01,2025-01-02 00:00:00,False
145,P020,304.52,2025-01-01,2025-01-01 00:00:00,False
146,P008,1586.34,2025-01-01,2025-01-01 00:00:00,False
147,P042,2561.86,2025-01-01,2025-01-01 00:00:00,False
148,P013,239.68,2025-01-01,2025-01-02 00:00:00,False
149,P027,2397.99,2025-01-01,2025-01-02 00:00:00,False
150,P004,693.28,2025-01-01,2025-01-02 00:00:00,False
151,P020,2706.51,2025-01-01,2025-01-03 00:00:00,False
152,P022,1575.99,2025-01-01,2025-01-02 00:00:00,False
153,P046,657.69,2025-01-01,2025-01-02 00:00:00,False
154,P042,2554.42,2025-01-01,2025-01-03 00:00:00,False
155,P016,308.18,2025-01-01,2025-01-02 00:00:00,False
156,P036,378.49,2025-01-01,2025-01-02 00:00:00,False
157,P047,346.99,2025-01-01,2025-01-02 00:00:00,False
158,P008,208.46,2025-01-01,2025-01-02 00:00:00,False
159,P035,2219.42,2025-01-02,2025-01-02 00:00:00,False
160,P039,474.95,2025-01-02,2025-01-02 00:00:00,False
161,P002,499.12,2025-01-02,2025-01-02 00:00:00,False
162,P036,2677.7,2025-01-02,2025-01-02 00:00:00,False
163,P006,161.73,2025-01-02,2025-01-02 00:00:00,False
164,P001,1383.33,2025-01-02,2025-01-02 00:00:00,False
165,P030,3410.25,2025-01-02,2025-01-02 00:00:00,False
166,P002,403.75,2025-01-02,2025-01-02 00:00:00,False
167,P026,416.0,2025-01-02,2025-01-02 00:00:00,False
168,P022,21.93,2025-01-02,2025-01-02 00:00:00,False
169,P005,489.36,2025-01-02,2025-01-02 00:00:00,False
170,P001,1238.98,2025-01-02,2025-01-02 00:00:00,False
171,P044,738.7,2025-01-02,2025-01-02 00:00:00,False
172,P007,20.02,2025-01-02,2025-01-02 00:00:00,False
173,P010,189.56,2025-01-02,2025-01-02 00:00:00,False
174,P021,394.14,2025-01-02,2025-01-02 00:00:00,False
175,P030,545.73,2025-01-02,2025-01-02 00:00:00,False
176,P004,305.55,2025-01-02,2025-01-02 00:00:00,False
177,P049,294.07,2025-01-02,2025-01-02 00:00:00,False
178,P044,2384.34,2025-01-02,2025-01-02 00:00:00,False
179,P002,572.58,2025-01-02,2025-01-02 00:00:00,False
180,P013,332.15,2025-01-02,2025-01-02 00:00:00,False
181,P049,2767.63,2025-01-02,2025-01-02 00:00:00,False
182,P025,5008.25,2025-01-02,2025-01-02 00:00:00,False
183,P016,1491.66,2025-01-02,2025-01-02 00:00:00,False
184,P014,1924.71,2025-01-02,2025-01-02 00:00:00,False
185,P008,848.05,2025-01-02,2025-01-02 00:00:00,False
186,P016,173.56,2025-01-02,2025-01-03 00:00:00,False
187,P007,392.56,2025-01-02,2025-01-02 00:00:00,False
188,P004,2686.44,2025-01-02,2025-01-02 00:00:00,False
189,P005,287.81,2025-01-02,2025-01-02 00:00:00,False
190,P050,2248.97,2025-01-02,2025-01-02 00:00:00,False
191,P036,347.86,2025-01-02,2025-01-02 00:00:00,False
192,P049,2766.19,2025-01-02,2025-01-02 00:00:00,False
193,P030,458.85,2025-01-02,2025-01-02 00:00:00,False
194,P021,345.36,2025-01-02,2025-01-02 00:00:00,False
195,P041,246.14,2025-01-02,2025-01-03 00:00:00,False
196,P005,2918.44,2025-01-02,2025-01-02 00:00:00,False
197,P028,358.88,2025-01-02,2025-01-02 00:00:00,False
198,P033,302.0,2025-01-02,2025-01-02 00:00:00,False
199,P001,269.73,2025-01-02,2025-01-02 00:00:00,False
200,P022,2002.05,2025-01-02,2025-01-02 00:00:00,False
201,P049,240.5,2025-01-02,2025-01-02 00:00:00,False
202,P021,363.45,2025-01-02,2025-01-02 00:00:00,False
203,P036,321.93,2025-01-02,2025-01-02 00:00:00,False
204,P004,5193.85,2025-01-02,2025-01-02 00:00:00,False
205,P004,2947.37,2025-01-02,2025-01-02 00:00:00,False
206,P047,387.59,2025-01-02,2025-01-02 00:00:00,False
207,P018,2659.96,2025-01-02,2025-01-03 00:00:00,False
208,P024,303.09,2025-01-02,2025-01-03 00:00:00,False
209,P025,2797.33,2025-01-02,2025-01-02 00:00:00,False
210,P043,1742.06,2025-01-02,2025-01-02 00:00:00,False
211,P013,2897.91,2025-01-02,2025-01-02 00:00:00,False
212,P023,20.12,2025-01-02,2025-01-03 00:00:00,False
213,P004,271.65,2025-01-02,2025-01-02 00:00:00,False
214,P002,425.29,2025-01-02,2025-01-02 00:00:00,False
215,P037,2438.44,2025-01-02,2025-01-02 00:00:00,False
216,P017,3135.24,2025-01-02,2025-01-02 00:00:00,False
217,P028,3238.86,2025-01-02,2025-01-03 00:00:00,False
218,P007,406.63,2025-01-02,2025-01-03 00:00:00,False
219,P047,2415.7,2025-01-02,2025-01-02 00:00:00,False
220,P040,2787.69,2025-01-02,2025-01-02 00:00:00,False
221,P035,189.71,2025-01-02,2025-01-02 00:00:00,False
222,P039,326.49,2025-01-02,2025-01-03 00:00:00,False
223,P025,45.53,2025-01-02,2025-01-02 00:00:00,False
224,P027,266.57,2025-01-02,2025-01-03 00:00:00,False
225,P030,3393.23,2025-01-02,2025-01-02 00:00:00,False
226,P036,1910.75,2025-01-02,2025-01-02 00:00:00,False
227,P005,368.94,2025-01-02,2025-01-03 00:00:00,False
228,P034,419.2,2025-01-02,2025-01-03 00:00:00,False
229,P045,2312.58,2025-01-02,2025-01-03 00:00:00,False
230,P013,337.26,2025-01-02,2025-01-02 00:00:00,False
231,P012,4148.16,2025-01-02,2025-01-02 00:00:00,False
232,P035,204.96,2025-01-02,2025-01-02 00:00:00,False
233,P021,410.99,2025-01-02,2025-01-03 00:00:00,False
234,P033,3026.23,2025-01-02,2025-01-02 00:00:00,False
235,P050,2703.15,2025-01-02,2025-01-02 00:00:00,False
236,P030,345.71,2025-01-02,2025-01-03 00:00:00,False
237,P013,623.32,2025-01-02,2025-01-02 00:00:00,False
238,P026,482.93,2025-01-02,2025-01-02 00:00:00,False
239,P004,2392.74,2025-01-02,2025-01-03 00:00:00,False
240,P009,128.33,2025-01-02,2025-01-02 00:00:00,False
241,P013,5824.22,2025-01-02,2025-01-02 00:00:00,False
242,P031,817.9,2025-01-02,2025-01-03 00:00:00,False
243,P046,640.0,2025-01-02,2025-01-02 00:00:00,False
244,P046,408.92,2025-01-02,2025-01-03 00:00:00,False
245,P014,37.61,2025-01-02,2025-01-02 00:00:00,False
246,P017,400.66,2025-01-02,2025-01-03 00:00:00,False
247,P032,941.13,2025-01-02,2025-01-03 00:00:00,False
248,P011,2951.55,2025-01-02,2025-01-02 00:00:00,False
249,P025,18.34,2025-01-02,2025-01-02 00:00:00,False
250,P040,166.96,2025-01-02,2025-01-04 00:00:00,False
251,P037,344.06,2025-01-02,2025-01-03 00:00:00,False
252,P033,139.78,2025-01-02,2025-01-03 00:00:00,False
253,P026,242.49,2025-01-02,2025-01-03 00:00:00,False
254,P029,1922.94,2025-01-02,2025-01-03 00:00:00,False
255,P008,1437.46,2025-01-02,2025-01-02 00:00:00,False
256,P035,2953.93,2025-01-02,2025-01-02 00:00:00,False
257,P011,436.74,2025-01-02,2025-01-02 00:00:00,False
258,P002,5793.32,2025-01-02,2025-01-03 00:00:00,False
259,P047,2332.36,2025-01-02,2025-01-02 00:00:00,False
260,P011,237.51,2025-01-02,2025-01-03 00:00:00,False
261,P003,2523.15,2025-01-02,2025-01-03 00:00:00,False
262,P036,2458.33,2025-01-02,2025-01-03 00:00:00,False
263,P043,2975.82,2025-01-02,2025-01-03 00:00:00,False
264,P006,228.01,2025-01-02,2025-01-03 00:00:00,False
265,P035,1552.52,2025-01-02,2025-01-04 00:00:00,False
266,P001,1288.4,2025-01-02,2025-01-03 00:00:00,False
267,P009,2662.61,2025-01-02,2025-01-03 00:00:00,False
268,P010,3844.65,2025-01-02,2025-01-02 00:00:00,False
269,P049,4818.2,2025-01-02,2025-01-03 00:00:00,False
270,P044,1545.26,2025-01-02,2025-01-02 00:00:00,False
271,P022,1661.78,2025-01-02,2025-01-03 00:00:00,False
272,P050,181.52,2025-01-02,2025-01-03 00:00:00,False
273,P014,2210.64,2025-01-02,2025-01-03 00:00:00,False
274,P012,3801.6,2025-01-02,2025-01-05 00:00:00,False
275,P015,3944.73,2025-01-02,2025-01-03 00:00:00,False
276,P044,2208.84,2025-01-02,2025-01-03 00:00:00,False
277,P010,3886.89,2025-01-02,2025-01-03 00:00:00,False
278,P008,1754.59,2025-01-02,2025-01-03 00:00:00,False
279,P025,42.14,2025-01-02,2025-01-02 00:00:00,False
280,P025,545.54,2025-01-02,2025-01-03 00:00:00,False
281,P047,306.56,2025-01-02,2025-01-03 00:00:00,False
282,P013,54.18,2025-01-02,2025-01-03 00:00:00,False
283,P036,2537.09,2025-01-03,2025-01-04 00:00:00,False
284,P027,752.77,2025-01-03,2025-01-03 00:00:00,False
285,P002,380.04,2025-01-03,2025-01-03 00:00:00,False
286,P010,3404.3,2025-01-03,2025-01-03 00:00:00,False
287,P032,2013.35,2025-01-03,2025-01-03 00:00:00,False
288,P027,2671.31,2025-01-03,2025-01-03 00:00:00,False
289,P002,608.93,2025-01-03,2025-01-03 00:00:00,False
290,P008,3095.26,2025-01-03,2025-01-03 00:00:00,False
291,P026,2591.51,2025-01-03,2025-01-03 00:00:00,False
292,P004,323.64,2025-01-03,2025-01-03 00:00:00,False
293,P042,2456.48,2025-01-03,2025-01-03 00:00:00,False
294,P022,279.16,2025-01-03,2025-01-03 00:00:00,False
295,P043,335.63,2025-01-03,2025-01-03 00:00:00,False
296,P042,113.88,2025-01-03,2025-01-03 00:00:00,False
297,P046,676.07,2025-01-03,2025-01-03 00:00:00,False
298,P034,1497.6707712,2025-01-03,2025-01-03 00:00:00,False
299,P024,2456.91,2025-01-03,2025-01-03 00:00:00,False
300,P002,323.23,2025-01-03,2025-01-03 00:00:00,False
301,P044,1379.58,2025-01-03,2025-01-03 00:00:00,False
302,P003,117.03,2025-01-03,2025-01-03 00:00:00,False
303,P027,1605.29,2025-01-03,2025-01-03 00:00:00,False
304,P021,1832.98,2025-01-03,2025-01-03 00:00:00,False
305,P001,209.68,2025-01-03,2025-01-03 00:00:00,False
306,P011,5116.78,2025-01-03,2025-01-03 00:00:00,False
307,P016,2573.54,2025-01-03,2025-01-03 00:00:00,False
308,P016,1769.58,2025-01-03,2025-01-03 00:00:00,False
309,P008,1064.89,2025-01-03,2025-01-03 00:00:00,False
310,P050,413.99,2025-01-03,2025-01-03 00:00:00,False
311,P033,1136.64,2025-01-03,2025-01-03 00:00:00,False
312,P044,1770.88,2025-01-03,2025-01-03 00:00:00,False
313,P034,305.22,2025-01-03,2025-01-03 00:00:00,False
314,P046,46.9,2025-01-03,2025-01-03 00:00:00,False
315,P015,2950.81,2025-01-03,2025-01-03 00:00:00,False
316,P010,438.69,2025-01-03,2025-01-03 00:00:00,False
317,P009,316.29,2025-01-03,2025-01-03 00:00:00,False
318,P027,2698.98,2025-01-03,2025-01-03 00:00:00,False
319,P044,2115.62,2025-01-03,2025-01-04 00:00:00,False
320,P047,166.9,2025-01-03,2025-01-03 00:00:00,False
321,P021,297.14,2025-01-03,2025-01-03 00:00:00,False
322,P010,413.69,2025-01-03,2025-01-03 00:00:00,False
323,P030,3722.18,2025-01-03,2025-01-03 00:00:00,False
324,P004,2565.04,2025-01-03,2025-01-03 00:00:00,False
325,P021,1846.04,2025-01-03,2025-01-03 00:00:00,False
326,P007,393.53,2025-01-03,2025-01-03 00:00:00,False
327,P024,2700.74,2025-01-03,2025-01-03 00:00:00,False
328,P041,306.46,2025-01-03,2025-01-03 00:00:00,False
329,P006,215.89,2025-01-03,2025-01-05 00:00:00,False
330,P029,1147.84,2025-01-03,2025-01-03 00:00:00,False
331,P049,565.22,2025-01-03,2025-01-03 00:00:00,False
332,P037,3657.52,2025-01-03,2025-01-03 00:00:00,False
333,P022,1789.73,2025-01-03,2025-01-03 00:00:00,False
334,P019,27.08,2025-01-03,2025-01-03 00:00:00,False
335,P028,464.67,2025-01-03,2025-01-03 00:00:00,False
336,P009,335.49,2025-01-03,2025-01-03 00:00:00,False
337,P018,3.29,2025-01-03,2025-01-04 00:00:00,False
338,P038,293.22,2025-01-03,2025-01-03 00:00:00,False
339,P038,233.99,2025-01-03,2025-01-03 00:00:00,False
340,P026,3193.0,2025-01-03,2025-01-03 00:00:00,False
341,P029,2307.14,2025-01-03,2025-01-05 00:00:00,False
342,P042,2308.51,2025-01-03,2025-01-04 00:00:00,False
343,P009,2268.2,2025-01-03,2025-01-03 00:00:00,False
344,P030,369.25,2025-01-03,2025-01-04 00:00:00,False
345,P025,3882.61,2025-01-03,2025-01-05 00:00:00,False
346,P021,3131.49,2025-01-03,2025-01-03 00:00:00,False
347,P041,1285.25,2025-01-03,2025-01-03 00:00:00,False
348,P005,414.82,2025-01-03,2025-01-03 00:00:00,False
349,P047,1959.41,2025-01-03,2025-01-03 00:00:00,False
350,P001,2596.85,2025-01-03,2025-01-03 00:00:00,False
351,P002,379.98,2025-01-03,2025-01-04 00:00:00,False
352,P020,238.16,2025-01-03,2025-01-03 00:00:00,False
353,P041,315.57,2025-01-03,2025-01-04 00:00:00,False
354,P001,1531.4,2025-01-03,2025-01-03 00:00:00,False
355,P047,1876.03,2025-01-03,2025-01-03 00:00:00,False
356,P047,346.55,2025-01-03,2025-01-03 00:00:00,False
357,P034,432.34,2025-01-03,2025-01-03 00:00:00,False
358,P003,1835.89,2025-01-03,2025-01-05 00:00:00,False
359,P019,425.66,2025-01-03,2025-01-03 00:00:00,False
360,P011,5401.01,2025-01-03,2025-01-03 00:00:00,False
361,P024,2379.66,2025-01-03,2025-01-04 00:00:00,False
362,P019,2744.65,2025-01-03,2025-01-03 00:00:00,False
363,P010,387.31,2025-01-03,2025-01-03 00:00:00,False
364,P008,1684.03,2025-01-03,2025-01-04 00:00:00,False
365,P015,715.05,2025-01-03,2025-01-03 00:00:00,False
366,P047,303.68,2025-01-03,2025-01-03 00:00:00,False
367,P045,1186.09,2025-01-03,2025-01-03 00:00:00,False
368,P014,1593.5,2025-01-03,2025-01-03 00:00:00,False
369,P011,230.15,2025-01-03,2025-01-03 00:00:00,False
370,P019,1817.52,2025-01-03,2025-01-03 00:00:00,False
371,P034,2497.86,2025-01-03,2025-01-03 00:00:00,False
372,P022,2736.6,2025-01-03,2025-01-03 00:00:00,False
373,P031,98.7,2025-01-03,2025-01-03 00:00:00,False
374,P014,1810.41,2025-01-03,2025-01-03 00:00:00,False
375,P001,179.27,2025-01-03,2025-01-04 00:00:00,False
376,P019,357.78,2025-01-03,2025-01-03 00:00:00,False
377,P047,4101.6,2025-01-03,2025-01-03 00:00:00,False
378,P005,577.98,2025-01-03,2025-01-03 00:00:00,False
379,P004,3132.58,2025-01-03,2025-01-03 00:00:00,False
380,P019,3252.92,2025-01-03,2025-01-03 00:00:00,False
381,P023,342.44,2025-01-03,2025-01-03 00:00:00,False
382,P043,3572.61,2025-01-03,2025-01-03 00:00:00,False
383,P049,372.51,2025-01-03,2025-01-04 00:00:00,False
384,P016,271.65,2025-01-03,2025-01-03 00:00:00,False
385,P022,2216.69,2025-01-03,2025-01-04 00:00:00,False
386,P045,2077.12,2025-01-03,2025-01-03 00:00:00,False
387,P005,43.42,2025-01-03,2025-01-04 00:00:00,False
388,P032,1190.4,2025-01-03,2025-01-03 00:00:00,False
389,P047,2384.54,2025-01-03,2025-01-04 00:00:00,False
390,P050,1837.46,2025-01-03,2025-01-04 00:00:00,False
391,P007,2116.55,2025-01-03,2025-01-05 00:00:00,False
392,P031,1123.35,2025-01-03,2025-01-05 00:00:00,False
393,P023,35.93,2025-01-03,2025-01-04 00:00:00,False
394,P019,314.78,2025-01-03,2025-01-04 00:00:00,False
395,P015,3776.64,2025-01-03,2025-01-04 00:00:00,False
396,P004,225.46,2025-01-03,2025-01-03 00:00:00,False
397,P016,367.83,2025-01-03,2025-01-03 00:00:00,False
398,P014,1873.85,2025-01-03,2025-01-03 00:00:00,False
399,P028,2194.01,2025-01-03,2025-01-04 00:00:00,False
400,P027,2269.65,2025-01-03,2025-01-03 00:00:00,False
401,P027,1078.32,2025-01-03,2025-01-04 00:00:00,False
402,P034,231.84,2025-01-03,2025-01-03 00:00:00,False
403,P046,479.89,2025-01-03,2025-01-03 00:00:00,False
404,P037,437.92,2025-01-03,2025-01-04 00:00:00,False
405,P009,2133.12,2025-01-03,2025-01-03 00:00:00,False
406,P011,345.13,2025-01-03,2025-01-04 00:00:00,False
407,P020,1523.23,2025-01-03,2025-01-04 00:00:00,False
408,P032,189.62,2025-01-03,2025-01-03 00:00:00,False
409,P034,330.23,2025-01-03,2025-01-04 00:00:00,False
410,P013,599.29,2025-01-03,2025-01-03 00:00:00,False
411,P009,2104.91,2025-01-03,2025-01-04 00:00:00,False
412,P043,249.03,2025-01-03,2025-01-04 00:00:00,False
413,P016,1632.07,2025-01-03,2025-01-03 00:00:00,False
414,P021,369.4,2025-01-03,2025-01-04 00:00:00,False
415,P038,2756.41,2025-01-03,2025-01-03 00:00:00,False
416,P033,1235.43,2025-01-03,2025-01-04 00:00:00,False
417,P039,4419.79,2025-01-03,2025-01-04 00:00:00,False
418,P038,2296.37,2025-01-03,2025-01-03 00:00:00,False
419,P026,163.93,2025-01-03,2025-01-03 00:00:00,False
420,P014,2605.79,2025-01-03,2025-01-03 00:00:00,False
421,P026,37.74,2025-01-03,2025-01-03 00:00:00,False
422,P032,1407.48,2025-01-03,2025-01-04 00:00:00,False
423,P017,259.27,2025-01-03,2025-01-04 00:00:00,False
424,P038,1275.98,2025-01-03,2025-01-04 00:00:00,False
425,P004,357.68,2025-01-03,2025-01-04 00:00:00,False
426,P014,284.54,2025-01-03,2025-01-03 00:00:00,False
427,P010,539.73,2025-01-03,2025-01-04 00:00:00,False
428,P013,4.37,2025-01-03,2025-01-04 00:00:00,False
429,P045,295.87,2025-01-03,2025-01-04 00:00:00,False
430,P026,243.69,2025-01-03,2025-01-04 00:00:00,False
431,P016,448.76,2025-01-03,2025-01-04 00:00:00,False
432,P014,2958.36,2025-01-03,2025-01-04 00:00:00,False
433,P046,362.48,2025-01-03,2025-01-04 00:00:00,False
434,P036,232.83,2025-01-04,2025-01-04 00:00:00,False
435,P049,5591.21,2025-01-04,2025-01-04 00:00:00,False
436,P011,249.64,2025-01-04,2025-01-04 00:00:00,False
437,P040,3030.79,2025-01-04,2025-01-05 00:00:00,False
438,P008,993.32,2025-01-04,2025-01-04 00:00:00,False
439,P032,2310.51,2025-01-04,2025-01-04 00:00:00,False
440,P013,394.17,2025-01-04,2025-01-04 00:00:00,False
441,P009,196.91,2025-01-04,2025-01-04 00:00:00,False
